neighborhood_group	energy_label	avg_energy_consumption_m2	avg_building_year	avg_square_meters	avg_home_occupancy	avg_home_size_rooms	average_property_value	avg_length_residence_years	avg_disp_income_ink	stand_avg_energy_consumption_m2	stand_avg_building_year	stand_avg_square_meters	stand_avg_home_occupancy	stand_avg_home_size_rooms	stand_average_property_value	stand_avg_length_residence_years	stand_avg_disp_income_ink	predicted	theoretical
F78	C	681.7372813238783	1962.7919621749409	68.26950354609929	2.5	3.5	172.0	7.0	27.1	-0.6898422310112703	0.17307753538426296	-0.21720606707353848	1.7450521817703275	0.9661151036686528	-0.8271481516603143	-0.9000801239476142	-0.5993502322523229	1005.6042646903987	1319
F79	C	590.429907692308	1990.246153846154	92.3876923076923	2.5	3.8	229.0	12.1	36.4	-0.9311333363907864	1.1117958116655762	-0.2019603729033249	1.7450521817703275	1.7158025744138334	0.1700689391662654	1.6763456680788558	1.2285780362903216	794.2602861238829	1319
F80	C	689.0	1992.0	108.0	2.77	4.0	368.0	13.5	39.6	-0.6706495924792166	1.1717636103215208	-0.19209145319625176	2.657048344686463	2.2155942215772884	2.6018790378486263	2.3835998070665148	1.8575426018103718	790.3586156515158	1319
F81	C	657.0959566786995	1985.9963898916967	86.60649819494586	1.9	3.3	166.0	9.5	27.5	-0.754959999984037	0.9664871774975736	-0.20561480642040256	-0.2816059580433077	0.4663234565051984	-0.9321183717473228	0.3628736956732047	-0.5207296615623169	761.1891526013733	1319
F82	C	618.2564423076931	1984.428057553957	67.87179487179488	2.39	3.4	182.0	6.0	28.0	-0.8575982534157778	0.9128624980187378	-0.21745746840708066	1.3734981894711615	0.7162192800869256	-0.6521977848486337	-1.4052616517959418	-0.4224539481998091	853.0680722140822	1319
F83	C	633.3033333333333	1975.333333333333	81.66666666666667	2.22	3.5	154.0	9.3	27.0	-0.8178349700828037	0.6018941786495102	-0.2087373941684698	0.7992783831906318	0.9661151036686528	-1.1420588119213395	0.2618373901035395	-0.6190053749248247	880.2611353268821	1319
F84	C	589.6238557435446	1990.7693677649154	81.75757575757575	2.67	3.8	263.0	10.3	39.5	-0.933263429043492	1.1296856287772254	-0.20867992831931373	2.3192719880508568	1.7158025744138334	0.7649001863259796	0.7670189179518672	1.8378874591378704	813.0702060453004	1319
F85	C	670.8472307692304	1985.053846153846	68.66923076923078	2.18	3.5	182.0	8.7	29.2	-0.7186205457459879	0.9342595656446758	-0.2169533897661498	0.6641678405363893	0.9661151036686528	-0.6521977848486337	-0.041271526605457735	-0.18659223612979056	808.0973159443474	1319
F86	C	545.0117536534462	1970.1830357142856	87.0375782881002	2.6	3.6	176.0	6.0	28.7	-1.0511564643864968	0.4257943480230132	-0.20534231020072116	2.0828285384059333	1.2160109272503798	-0.7571680049356421	-1.4052616517959418	-0.2848679494922983	976.2414869893672	1319
F87	C	701.04	1999.0	8234.0	1.95	3.1	191.0	5.3	33.2	-0.638832393131311	1.4111087716237642	4.9445509394712435	-0.11271777972550467	-0.03346819065825496	-0.4947424547181211	-1.7588887212897708	0.5996134707702725	757.6668580486293	1319
F88	C	563.7511010558087	1992.0769230769229	94.24736048265459	2.45	3.9	250.0	11.1	38.9	-1.0016354052543852	1.1743937769292383	-0.20078483138427425	1.5761640034525248	1.965698397995561	0.5374647094707947	1.1711641402305284	1.7199566031028606	774.7763884971972	1319
K24	C	688.4314285714287	1942.0	186.28571428571428	1.63	2.6	254.0	7.5	29.5	-0.6721521132837329	-0.5378446846945034	-0.1426051476658241	-1.1936021209594434	-1.28294730856689	0.6074448561954671	-0.6474893600234504	-0.12762680811228574	983.3517422084607	1319
K25	C	649.580660066007	1948.5907590759075	66.98679867986799	1.67	2.7	238.0	8.3	29.0	-0.7748201071671497	-0.3124923569620313	-0.2180168960414396	-1.0584915783052011	-1.0330514849851626	0.327524269296778	-0.243344137744788	-0.22590252147479356	947.6784456244676	1319
K26	C	693.9861403508772	1951.9122807017545	58.75438596491228	1.8	3.1	228.0	10.5	25.9	-0.6574730956751882	-0.19892233848957525	-0.2232208045013924	-0.6193823146789131	-0.03346819065825496	0.1525739024850973	0.8680552235215322	-0.8352119443223421	946.5145673825807	1319
K44	C	634.9145833333333	1989.0	73.79166666666667	1.8	3.1	233.0	8.7	33.6	-0.8135770413079437	1.0691871126205594	-0.2137153733516173	-0.6193823146789131	-0.03346819065825496	0.24004908589093765	-0.041271526605457735	0.6782340414602784	709.9114927063365	1319
K45	C	618.3268181818182	1988.2727272727273	65.54545454545455	1.68	2.9	248.0	8.2	30.0	-0.8574122764044553	1.044320082874871	-0.21892800475215224	-1.0247139426416405	-0.5332598378217094	0.5024746361084587	-0.2938622905296215	-0.02935109474977795	698.1307353809462	1319
K48	C	563.5922797927453	1998.9067357512954	81.83937823834195	1.79	3.2	271.0	8.8	32.8	-1.0020551102201298	1.4079198649594875	-0.20862821898009035	-0.6531599503424738	0.21642763292347225	0.904860479775324	0.009246626179375734	0.5209929000802651	641.0140178270358	1319
K52	C	665.5450000000002	1965.833333333333	95.625	1.99	4.0	310.0	9.2	38.3	-0.7326323508434294	0.2770686025964656	-0.1999139919126264	0.02239276292873775	2.2155942215772884	1.5871669103408788	0.21131923731870605	1.6020257470678507	875.5178058186867	1319
K53	C	796.22	1939.0	72.0	1.76	3.4	235.0	9.5	28.7	-0.3873073903129002	-0.6404211823954649	-0.21484792946206888	-0.7544928573331555	0.7162192800869256	0.27503915925327377	0.3628736956732047	-0.2848679494922983	1026.869824154057	1319
K54	C	589.0721951219513	1943.8048780487804	72.39024390243901	1.73	3.1	230.0	9.5	29.0	-0.934721260934657	-0.4761319950207559	-0.2146012467925207	-0.8558257643238374	-0.03346819065825496	0.18756397584743345	0.3628736956732047	-0.22590252147479356	988.5076862391487	1319
K90	C	645.1149541284402	1978.02752293578	72.0	1.72	3.6	265.0	9.5	36.8	-0.7866212912240172	0.6940143565032832	-0.21484792946206888	-0.8896033999873979	1.2160109272503798	0.7998902596883157	0.3628736956732047	1.3071986069803274	762.5815989354869	1319
K91	C	631.3679369627538	1947.6074498567334	75.76217765042979	1.7	3.3	235.0	9.9	34.3	-0.8229494960080482	-0.3461138289153385	-0.21246976539513016	-0.9571586713145191	0.4663234565051984	0.27503915925327377	0.5649463068125359	0.8158200401677885	954.5790520699138	1319
M27	C	710.3108695652173	1946.7391304347825	54.17391304347826	1.84	3.0	276.0	7.7	34.8	-0.6143329657986737	-0.37580355064516185	-0.22611623292702665	-0.4842717720246706	-0.2833640142399822	0.9923356631811644	-0.5464530544537848	0.9140957535302964	976.9781426976095	1319
M28	C	671.8470027247955	1976.9155313351496	79.55858310626704	1.77	2.8	215.0	8.4	27.9	-0.7159785238512485	0.6559929552147773	-0.2100699650992641	-0.7207152216695949	-0.7831556614034366	-0.07486157437008753	-0.19282598495995545	-0.4421090908723111	788.7830952219556	1319
M29	C	658.2362903225808	1935.1290322580649	60.62903225806453	1.83	2.8	216.0	8.6	25.8	-0.7519465263236972	-0.7727779536225081	-0.2220357949492557	-0.5180494076882313	-0.7831556614034366	-0.057366537688919465	-0.09178967939029033	-0.8548670869948433	1063.077650768224	1319
M30	C	627.0459808612437	1929.1339712918661	69.90430622009569	2.02	3.0	205.0	9.2	26.4	-0.8343708032218887	-0.97776207276131	-0.2161726685110359	0.12372566991941958	-0.2833640142399822	-0.2498119411817682	0.21131923731870605	-0.7369362309598343	1129.5464327472164	1319
M31	C	601.9570204081629	1977.5469387755106	70.00816326530612	1.9	2.7	188.0	7.9	25.7	-0.9006715055613734	0.6775821431662755	-0.2161070179448034	-0.2816059580433077	-1.0330514849851626	-0.5472275647616253	-0.4454167488841192	-0.8745222296673449	810.9770104775162	1319
M32	C	632.7684072249599	1987.1658456486043	70.80131362889983	1.99	2.8	193.0	8.5	25.8	-0.8192485789388263	1.0064734027508435	-0.2156056482941272	0.02239276292873775	-0.7831556614034366	-0.459752381355785	-0.14230783217512288	-0.8548670869948433	760.6738106662306	1319
M33	C	578.6151323828934	1996.1456211812624	94.07230142566192	2.13	3.2	315.0	8.0	41.8	-0.9623553514464641	1.3135113775111356	-0.20089549047526228	0.4952796622185856	0.21642763292347225	1.674642093746719	-0.3948985960992866	2.2899557406054054	692.3118821497937	1319
M35	C	808.71	2005.0	81.0	2.65	3.8	320.0	4.8	43.6	-0.35430100992624386	1.6162617670256871	-0.2091588103956146	2.251716716723736	1.7158025744138334	1.7621172771525593	-2.0114794852139353	2.643748308710434	728.7542642782954	1319
M51	C	645.0	2007.0	119.0	2.59	3.6	294.0	3.4	38.1	-0.7869250718237224	1.6846460988263283	-0.1851380854483632	2.049050902742372	1.2160109272503798	1.3072463234421896	-2.7187336242015934	1.5627154617228485	721.6913868191114	1319
M55	C	632.6375595238093	1990.5535714285716	83.41071428571429	1.8	2.9	219.0	8.7	29.8	-0.8195943602836542	1.1223070846442682	-0.20763493921710005	-0.6193823146789131	-0.5332598378217094	-0.004881427645415268	-0.041271526605457735	-0.06866138009478093	704.0105288743216	1319
M56	C	562.9613636363639	1980.3863636363642	156.72727272727272	2.07	3.6	276.0	8.7	41.4	-1.0037223847317087	0.7746682290700752	-0.16128975804858012	0.29261384823722186	1.2160109272503798	0.9923356631811644	-0.041271526605457735	2.2113351699154	794.1606566716455	1319
M57	C	751.2244444444444	1924.2222222222226	55.77777777777778	1.63	3.1	186.0	11.0	23.7	-0.5062137491900492	-1.1457054118113137	-0.22510239098925805	-1.1936021209594434	-0.03346819065825496	-0.5822176381239614	1.120645987445696	-1.2676250831173763	1105.5524558319503	1319
M58	C	562.5557142857143	1997.0	98.3047619047619	1.68	1.9	174.0	3.0	40.8	-1.0047943636565395	1.3427244398231233	-0.19822004918529987	-1.0247139426416405	-3.0322180736389788	-0.7921580782979782	-2.9208062353409243	2.0934043138803897	651.9829549858588	1319
N60	C	602.2014173228348	1977.96062992126	76.29133858267717	2.0	3.1	157.0	9.7	23.6	-0.9000256562794693	0.6917271394532423	-0.2121352698897	0.05617039859229836	-0.03346819065825496	-1.0895737018778353	0.4639100012428698	-1.2872802257898774	828.3818842078235	1319
N61	C	692.1359401709406	1971.2706552706552	67.04273504273505	2.02	3.1	156.0	9.6	24.3	-0.66236248005713	0.4629824163308293	-0.21798153730494016	0.12372566991941958	-0.03346819065825496	-1.1070687385590037	0.4133918484580372	-1.149694227082367	873.3245984540262	1319
N62	C	743.5833333333335	1928.666666666667	44.33333333333334	1.9	3.1	176.0	13.1	27.2	-0.5264063368529829	-0.9937402300321072	-0.2323367028885765	-0.2816059580433077	-0.03346819065825496	-0.7571680049356421	2.181527195927184	-0.5796950895798217	1104.481738101491	1319
N63	C	630.7272727272727	1985.8181818181815	66.18181818181819	2.05	3.0	169.0	14.5	27.2	-0.8246425310325807	0.9603938574831741	-0.2185257438080595	0.22505857691010067	-0.2833640142399822	-0.8796332617038185	2.8887813349148423	-0.5796950895798217	757.8036903965893	1319
N65	C	672.3144337811904	1980.8253358925147	68.6679462571977	2.17	3.3	172.0	10.9	27.4	-0.7147432790752754	0.7896776412780175	-0.21695420173747187	0.6303902048728279	0.4663234565051984	-0.8271481516603143	1.0701278346608634	-0.5403848042348187	825.1060470419487	1319
N66	C	611.855524475523	1986.1573426573427	94.94755244755244	2.37	3.6	192.0	11.8	33.0	-0.8745134758971498	0.9719905011626576	-0.20034222300008767	1.3059429181440405	1.2160109272503798	-0.477247418036953	1.5247912097243583	0.5603031854252688	810.5266733098924	1319
N67	C	736.7396666666663	1956.7222222222226	66.53333333333333	2.45	3.8	268.0	13.7	38.3	-0.5444915782652723	-0.03446002005089797	-0.2183035425246559	1.5761640034525248	1.7158025744138334	0.8523753697318199	2.48463611263618	1.6020257470678507	983.5724958711252	1319
N68	C	669.8131046931397	1967.2707581227442	59.26353790613718	2.44	3.6	163.0	9.3	27.5	-0.7213533526823536	0.3262172694652207	-0.2228989571662208	1.5423863677889638	1.2160109272503798	-0.9846034817908268	0.2618373901035395	-0.5207296615623169	961.5173292038962	1319
N69	C	543.7882905982912	1988.15811965812	86.01282051282051	2.05	3.5	170.0	9.2	28.2	-1.05438961786828	1.0404014003027673	-0.20599008453381454	0.22505857691010067	0.9661151036686528	-0.8621382250226505	0.21131923731870605	-0.38314366285480617	771.3110230807742	1319
N70	C	632.2797026022307	1977.2620817843865	77.00931098696462	2.36	3.5	169.0	9.5	27.9	-0.8205400417630473	0.6678422656679092	-0.2116814220569867	1.2721652824804788	0.9661151036686528	-0.8796332617038185	0.3628736956732047	-0.4421090908723111	883.3163263811183	1319
N71	C	846.59	1990.0	8989.0	1.76	2.3	247.0	2.7	42.9	-0.25419839270874656	1.1033792785208798	5.421804816712685	-0.7544928573331555	-2.032634779312072	0.4849795994272906	-3.072360693695422	2.5061623100029227	773.1211725256235	1319
N73	C	774.9228571428572	1983.0	77.0	2.61	3.7	437.0	14.9	46.6	-0.4435877424579616	0.8640341172186364	-0.2116873077584832	2.116606174069493	1.4659067508321073	3.809036568849223	3.0908539460541733	3.233402588885481	794.4160506098468	1319
T93	C	620.9451378809872	1983.2554426705371	132.88606676342525	2.13	2.9	123.0	7.0	23.3	-0.8504930405385908	0.8727682553876558	-0.17636036465037874	0.4952796622185856	-0.5332598378217094	-1.6844049490375494	-0.9000801239476142	-1.346245653807382	828.5886279148308	1319
T94	C	616.3662306610405	1984.0801687763712	88.64275668073137	2.24	3.4	144.0	7.6	25.6	-0.8625933730811662	0.9009674272206679	-0.20432763786754576	0.8668336545177531	0.7162192800869256	-1.3170091787330205	-0.5969712072386179	-0.8941773723398463	836.8301732410855	1319
T95	C	586.226818181818	1979.3181818181815	78.5	1.79	3.3	138.0	9.2	28.5	-0.942240523835334	0.7381447791310908	-0.21073912124740746	-0.6531599503424738	0.4663234565051984	-1.4219793988200284	0.21131923731870605	-0.3241782348373013	792.9488583386227	1319
T96	C	635.773858497444	1977.5944566010207	78.3559445660102	2.19	3.4	144.0	10.3	27.2	-0.8113062996807663	0.6792068805393708	-0.21083018219364494	0.6979454761999492	0.7162192800869256	-1.3170091787330205	0.7670189179518672	-0.5796950895798217	857.5718577812022	1319
T97	C	658.5582372881357	1981.8564971751407	76.89943502824859	2.25	3.4	162.0	11.2	30.1	-0.7510957413749829	0.8249352789235779	-0.21175087732495074	0.9006112901813129	0.7162192800869256	-1.002098518471995	1.2216822930153608	-0.009695952077276113	828.8590389604832	1319
A01	D	669.3599999999999	1990.0	78.0	1.51	2.4	282.0	4.9	28.1	-0.7225507382593553	1.1033792785208798	-0.211055183417766	-1.5989337489221698	-1.7827389557303444	1.0973058832681728	-1.9609613324291015	-0.4027988055273073	666.2637217165575	1750
A04	D	837.8786792452833	1970.956043956044	80.06730769230771	1.58	2.7	304.0	8.5	32.5	-0.277219142628711	0.4522251740675224	-0.20974838790570652	-1.362490299277246	-1.0330514849851626	1.4821966902538704	-0.14230783217512288	0.46202747206276096	777.067689392823	1750
A05	D	769.7584615384616	1983.1818181818185	68.07692307692308	1.67	2.7	312.0	8.2	33.8	-0.457235300967638	0.8702508746550605	-0.21732780187565148	-1.0584915783052011	-1.0330514849851626	1.6221569837032148	-0.2938622905296215	0.7175443268052807	710.6753920009887	1750
A06	D	1106.122702702703	1935.4242424242425	60.189189189189186	1.5	2.5	286.0	9.4	30.2	0.4316490939351607	-0.7626840786450932	-0.2223138304591876	-1.6327113845857306	-1.5328431321486171	1.1672860299928451	0.3123555428883721	0.009959190595225029	989.7293952805667	1750
A09	D	677.2521875000006	1976.625	75.85416666666667	1.74	2.7	260.0	9.4	31.1	-0.7016946499720986	0.6460590596040934	-0.2124116168988882	-0.8220481286602768	-1.0330514849851626	0.7124150762824754	0.3123555428883721	0.18685547464773947	769.2431723199788	1750
E13	D	843.8490780141844	1948.6382978723404	79.94285714285714	1.79	2.8	210.0	8.5	26.4	-0.2614416203848057	-0.3108669025476944	-0.20982705612722988	-0.6531599503424738	-0.7831556614034366	-0.16233675777592785	-0.14230783217512288	-0.7369362309598343	972.8325360418204	1750
E14	D	889.6733771929818	1925.0964912280701	50.35964912280703	1.67	2.6	222.0	8.0	27.9	-0.14034520327933542	-1.115812260921852	-0.2285273219932021	-1.0584915783052011	-1.28294730856689	0.04760368239808893	-0.3948985960992866	-0.4421090908723111	1100.2334972951448	1750
E15	D	743.8286956521738	1994.934782608696	77.93478260869566	2.12	3.1	267.0	9.6	33.0	-0.5257579363703409	1.272110184159421	-0.21109640891824755	0.4615020265550257	-0.03346819065825496	0.8348803330506519	0.4133918484580372	0.5603031854252688	708.4828225982857	1750
E16	D	868.1485714285716	1922.047619047619	52.47619047619048	1.66	2.6	229.0	8.3	28.5	-0.19722718300783915	-1.2200598043247075	-0.22718940468559398	-1.0922692139687618	-1.28294730856689	0.1700689391662654	-0.243344137744788	-0.3241782348373013	1114.9823062306966	1750
E17	D	968.5534285714286	1902.5428571428567	57.171428571428564	1.77	3.0	267.0	8.8	31.3	0.06810515546494122	-1.8869698592185755	-0.2242214304001316	-0.7207152216695949	-0.2833640142399822	0.8348803330506519	0.009246626179375734	0.22616575999274244	1247.850928245558	1750
E18	D	927.0011363636366	1924.215909090909	52.75	1.82	2.6	225.0	7.1	27.6	-0.04170195122424036	-1.1459212714445242	-0.22701632302087385	-0.5518270433517919	-1.28294730856689	0.10008879244159312	-0.8495619711627816	-0.501074518889815	1130.644213684238	1750
E19	D	838.1118072289153	1924.7891566265062	51.5722891566265	1.6	2.4	211.0	8.8	25.9	-0.27660307290040576	-1.1263206966054442	-0.2277607827112968	-1.2949350279501246	-1.7827389557303444	-0.1448417210947598	0.009246626179375734	-0.8352119443223421	1090.2459719565832	1750
